text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,LowerLvl.started,SecondLvl.started,L1_shape.started,L2_shape.started,L3_shape.started,L4_shape.started,L5_shape.started,L6_shape.started,L7_shape.started,L8_shape.started,L9_shape.started,L10_shape.started,L11_shape.started,L12_shape.started,text_4.started,key_resp_2.started,mouse.started,L1.started,L2.started,L3.started,L4.started,L5.started,L6.started,L7.started,L8.started,L9.started,L10.started,L11.started,L12.started,key_resp_2.keys,key_resp_2.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,L1_loc,L1_corr,L2_loc,L2_corr,L3_loc,L3_corr,L4_loc,L4_corr,L5_loc,L5_corr,L6_loc,L6_corr,L7_loc,L7_corr,L8_loc,L8_corr,L9_loc,L9_corr,L10_loc,L10_corr,L11_loc,L11_corr,L12_loc,L12_corr,text_3.started,participant,session,date,expName,psychopyVersion,frameRate
28.44867281,31.44662384,31.44662384,space,1.538814538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523221,1,2023-04-26_11h14.40.176,SEAL_LandmarkLocation,2022.2.4,None
,,,,,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,0.076069484,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,33.22480056,space,122.9817572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523221,1,2023-04-26_11h14.40.176,SEAL_LandmarkLocation,2022.2.4,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.15619047619047619, -0.17047619047619048, -0.11619047619047619, -0.14952380952380953, -0.15047619047619049, -0.1819047619047619, -0.3352380952380952, 0.018095238095238095, -0.10857142857142857, -0.19333333333333333, -0.40095238095238095, 0.008571428571428572, 0.13523809523809524, -0.0019047619047619048, 0.06, 0.6104761904761905]","[-0.017142857142857144, 0.1523809523809524, 0.008571428571428572, -0.0419047619047619, -0.15523809523809523, -0.10952380952380952, 0.014285714285714285, 0.15619047619047619, 0.13142857142857142, 0.12380952380952381, 0.08571428571428572, -0.3076190476190476, -0.3028571428571429, 0.005714285714285714, 0.008571428571428572, 0.22476190476190477]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[20.461312644009013, 34.128402233007364, 38.38238885102328, 40.83241051103687, 45.59315384400543, 53.86409278301289, 61.60185606498271, 78.94570608000504, 81.21629494201625, 83.35382728901459, 85.23625471803825, 94.60066507500596, 102.09947008703602, 112.16726395400474, 115.02439237001818, 118.41459763399325]",,,,,,,,,,,,,,,,,,,,,,,,,,523221,1,2023-04-26_11h14.40.176,SEAL_LandmarkLocation,2022.2.4,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-0.33238095  0.00857143],0,[ 0.   -0.15],0,[0.15 0.  ],0,[-0.3847619  -0.15904762],2,[-0.72761905  0.        ],2,[-0.33142857  0.02190476],2,[0.33238095 0.09904762],2,[0.72952381 0.24      ],0,[0.15 0.15],1,[ 0.38095238 -0.09714286],2,[-0.15 -0.3 ],0,[ 0.15 -0.15],0,156.3304525,,,,,,
